LOTTERY|11630|95109.00|12585.00|8891
TOBACCO|2271|48471.83|2721.00|2205
Beer|3370|39220.87|5511.00|2974
GROCERY NO TAX|1114|12127.81|1300.00|1062
DRINKS|2825|12084.05|3979.00|2491
ALCOHOL|228|3851.86|426.00|228
ALL|527|3084.76|689.00|498
GENERAL ITEMS|230|2676.62|280.00|225
R.T.D.|405|2527.15|607.00|361
Cashback|27|2406.00|27.00|27
CANDY,GUMS & CHOCOLATES|815|2280.45|980.00|660
TOBACCO Accessories|30|1622.01|34.00|30
Wine|82|1320.70|87.00|81
HEALTH & BEAUTY|272|1156.55|354.00|261
GROCERY|160|1056.87|180.00|141
ICE CREAMS|239|1030.06|359.00|207
DAIRY PRODUCTS|169|902.25|198.00|160
WATER|387|839.50|469.00|385
OTHER|96|723.17|154.00|96
CHIPS & SNACKS|134|692.18|137.00|125
VAPE & CIGAR|153|661.59|193.00|147
Electronics - My top gift|26|578.30|26.00|23
CHIPS|171|470.93|187.00|151
GENERAL NO TAX|521|467.76|788.00|511
LIGHTER|108|361.47|119.00|107
DELI|68|308.66|106.00|68
ICE|40|248.04|55.00|40
DRINK/SLUSHY|48|205.47|56.00|47
DRINKS NO TAX|60|204.00|66.00|60
Alcoholic Cocktails|28|157.64|39.00|28
DAIRY PRODUCTS TAXABLE|46|135.04|56.00|46
FOOD ITMES|43|124.27|49.00|42
Ice cream|25|98.10|34.00|25
PET FOOD|23|83.56|42.00|17
SNACK|22|71.13|24.00|22
COOKIES|17|59.25|18.00|17
HOUSE HOLD ITEM|12|56.05|13.00|12
GENERAL ITMES|5|45.15|5.00|5
ELECTRONICS|3|44.04|3.00|3
PARTY STUFF|5|33.85|5.00|5
JTI VAPE & CIGARATE|1|33.49|2.00|1
ENERGY DRINK|4|27.06|6.00|4
BONG AND PIPES|2|24.84|2.00|2
BAKERY|3|11.82|3.00|3
STATIONARY|1|9.02|2.00|1
SNACKS|2|7.92|2.00|2
HARDWARE|1|3.94|1.00|1
SEASONAL|1|3.38|1.00|1
JUICE|1|1.01|1.00|1
