LOTTO IN|6063|104303.50
INSTANT|2244|35415.00
power up|122|1200.00
cash in 10|62|870.00
cross word 10$|66|720.00
big spin 5|85|660.00
bingo 10$|52|640.00
Crossword $3|100|567.00
649 $7.00|80|560.00
Roulette $3|107|546.00
crossword trilpler 5|93|545.00
Super $20|21|460.00
bingo doubler 5|55|425.00
649/POK/.MEGA.LIG/.GRAND|90|396.00
30 crossword|12|360.00
POKER LIGHT/LOTTO MAX|48|294.00
LOTTO 649 $13|20|286.00
LOTTO MAX$10|21|260.00
LOTTO 649 $19|13|247.00
$5 ONTARIO|43|240.00
cash for life|46|236.00
plinko 5|24|230.00
649/OKER|69|216.00
big money pay day 30|6|210.00
bigger spin|13|180.00
MONEY MACHINE $5|17|155.00
Bingo $3|35|153.00
money multiplier|45|140.00
Instant 30X|4|120.00
$20 LOTTO MAX.2 DRA|6|120.00
$12 LOTTO MAX|9|108.00
LOT, MAX 10 DRAW.$50|1|100.00
LOTO MAX $30|3|90.00
POK.MEGA.WHEE.LIGH.LOTARIO|42|88.00
LOTTO MAX $18.00|3|72.00
POKER /LOTARIO/TOP/649|65|69.00
LOTTO MAX $25|2|50.00
$50 K|1|50.00
649/LIGHTING LOTTO|6|48.00
POKER LOTTO|5|45.00
LOTTO 649 $31|1|31.00
2 DRAW 649|2|28.00
LOTO MAX 2 DRAW.$22|1|22.00
$15/ 649|1|15.00
11 $LOTTO MAX|1|11.00
INSTANT PAY OUT|907|-24768.20
LOTTO PAY OUT|918|-31704.30
