Laker Ice 6x473ml|Beer|1352.44|1319.98
old milwaukee 6PK|Beer|1365.91|1576.04
Match 20|TOBACCO|1111.85|1255.05
GROCERY NO TAX|GROCERY NO TAX|846.23|1851.30
PALL MALL  SMOOTH  KS 20|GROCERY NO TAX|938.00|1044.00
Next ORIGINAL KS 20|TOBACCO|798.00|1145.50
GROCERY TAX|ALL|1340.08|872.06
Belmont  20 ks|TOBACCO|1098.00|795.50
Budwieser 6pk 473ml|Beer|905.03|631.22
molson 6 pack|Beer|615.40|848.70
Next original KS 25|TOBACCO|543.96|990.00
Belmont Select 25 K Carton|TOBACCO|519.00|519.00
CASH BACK|Cashback|2166.00|0.00
match king size|TOBACCO|660.00|976.27
maximum ice  473 ml|Beer|730.43|556.72
match chic  king size|TOBACCO|838.82|728.82
Match Chic 20|TOBACCO|748.63|638.53
Next Xtra Tobacco|TOBACCO|875.75|315.27
PALLMALL SMOOTH KS25|GROCERY NO TAX|492.96|468.00
ALCOHOL|ALCOHOL|391.27|543.94
Belmont  KS 25|TOBACCO|484.00|643.98
laker ice black 473 ml|DRINKS|614.03|489.37
Mikes Hard Lemonade 473|Beer|591.94|489.28
PHOTO|GENERAL ITEMS|525.14|609.83
Next Extra KS 25 carton|TOBACCO|270.00|280.00
TOBACCO ACCESSORIES|TOBACCO Accessories|1432.24|21.46
Benson and Hedges Carton|TOBACCO|531.01|720.04
Old Milwaukee 6 pack|Beer|465.31|525.35
Du Maurier Distinct 25 Ks|TOBACCO|396.00|396.00
Heineken 6pk|Beer|463.26|505.89
Next original RG 25|TOBACCO|476.00|432.00
PALL MALL  SMOOTH  RG 20|GROCERY NO TAX|378.00|493.00
Molson Cold shot|Beer|246.08|402.75
Stella Artois 6 x 473ml|ALCOHOL|176.48|508.40
coors   473 ml|DRINKS|94.53|647.15
DRUM ORIGINAL VAPE & CIGARATTE TOBACCO 50G|TOBACCO|0.00|484.77
Arizona Hard 473|Beer|275.92|290.82
Heineken Bottle 330ml|Beer|616.24|0.00
Corona Extra 6 x 330 ml|ALCOHOL|230.40|211.20
Laker red|DRINKS|260.36|198.11
Bud light 6 Pack|Beer|325.85|227.72
EXPORT A FINE RG 25|TOBACCO|107.52|365.56
Pabst Blue Ribbon 6 pk|Beer|135.09|418.80
molson dry 710 ml|Beer|76.44|335.50
Vogue|TOBACCO|356.93|209.95
MISCELLANEOUS|GENERAL ITEMS|269.28|290.58
Corona Extra|Beer|286.78|130.05
RED BULL 250 original|DRINKS|141.38|409.02
Labatt Blue 6 pack|Beer|210.14|261.60
KEY CUT|OTHER|349.17|212.44
Next Original KS 25 carton|TOBACCO|540.00|0.00
Du Maurier Signature 25 k|TOBACCO|176.00|220.00
Lowenbrau 6tc|Beer|60.04|366.24
MARLBORO SMOOTH|TOBACCO|139.14|201.51
Matinee Subtle KS 20|TOBACCO|125.79|41.99
Belmont select KS|TOBACCO|220.00|298.96
Next Xtra KS 25|TOBACCO|221.00|54.00
White Claw Blackberry 473ML|R.T.D.|126.90|117.26
Next Original KS 20 carton|TOBACCO|111.00|245.99
belmont select 20k|TOBACCO|288.00|111.00
Du Maurier signature 20 Rg|TOBACCO|234.00|108.00
Du Maurier Signature 25 Rg|TOBACCO|308.00|66.00
corona   473 ml|Beer|112.40|235.11
budweiser|Beer|132.56|236.62
Drum Premier 50g|TOBACCO|132.21|220.35
Belmont  20 RG|TOBACCO|90.41|166.50
old milwaukee  blue 473 ml|Beer|114.05|247.62
