Cash|2026-04|1341|18823.72
Cash|2026-05|3003|45814.89
Cash|2026-06|2970|42110.73
Cash|2026-07|3093|37703.45
Cash|2026-08|1897|26277.95
Credit Card|2026-04|66|1129.77
Credit Card|2026-05|116|1739.24
Credit Card|2026-06|168|2555.01
Credit Card|2026-07|184|3842.43
Credit Card|2026-08|124|2003.61
Debit Card|2026-04|543|13583.56
Debit Card|2026-05|1098|23611.34
Debit Card|2026-06|1201|25769.07
Debit Card|2026-07|1342|27399.98
Debit Card|2026-08|774|15005.87
E-Transfer|2026-07|1|12.25
E-Transfer|2026-08|1|5.80
