Barcode,Product Name,Category,Epos PriceExTax,Epos PriceIncTax,Correct PriceExTax,Correct PriceIncTax,Difference,Issue
086428230502,Tiger Lager 500 ml,Beer,3.99,4.51,3.69,4.16,0.30,price landed on the wrong product
030772121191,Tide Original 1L,GROCERY,2.75,3.11,10.99,12.42,-8.24,price landed on the wrong product
030772121207,tide og 1 litre,HEALTH & BEAUTY,2.43,2.75,10.99,12.42,-8.56,price landed on the wrong product
4987176179906,Tide Matic,GENERAL ITEMS,15.99,18.07,7.99,9.03,8.00,price landed on the wrong product
6903148078884,Tide detergent,GROCERY,3.69,4.17,3.99,4.51,-0.30,price landed on the wrong product
030772176344,Tide detergent,GROCERY,10.99,12.42,7.99,9.03,3.00,price landed on the wrong product
030772188460,Tide,GROCERY,10.99,12.42,6.99,7.90,4.00,price landed on the wrong product
030772176368,Tide,GENERAL ITMES,3.99,4.51,7.99,9.03,-4.00,price landed on the wrong product
062020005649,tic tac fruit,"CANDY,GUMS & CHOCOLATES",7.99,9.03,2.66,3.01,5.33,price landed on the wrong product
062020005618,tic tac freshmint,"CANDY,GUMS & CHOCOLATES",6.99,7.90,2.25,2.54,4.74,price landed on the wrong product
071603529007,TWEEZERS,HEALTH & BEAUTY,3.55,4.01,3.09,3.49,0.46,price landed on the wrong product
055966994436,TUFF GUYY 40 STRONG GARBAGE BAGS,HEALTH & BEAUTY,3.55,4.01,7.99,9.03,-4.44,price landed on the wrong product
061700930509,Trojan classic,HEALTH & BEAUTY,2.50,2.83,3.99,4.51,-1.49,price landed on the wrong product
031146056262,Tonkotsu,GROCERY,3.09,3.49,4.00,4.52,-0.91,price landed on the wrong product
613008771300,TONIC WATERMELON,DRINKS,7.99,9.03,3.31,3.74,4.68,price landed on the wrong product
060100045325,TOBACCO CAMEL ORIGINAL 25,TOBACCO,3.99,4.51,16.40,18.53,-12.41,price landed on the wrong product
059212971448,Titan Freezer Bags,GENERAL ITEMS,4.00,4.52,2.75,3.11,1.25,price landed on the wrong product
858629001065,ting sparkling grape fruit,DRINKS,3.31,3.74,2.43,2.75,0.88,price landed on the wrong product
069237012408,Venice shot glass,GROCERY,1.00,1.13,3.99,4.51,-2.99,price landed on the wrong product
5060674508948,Ven Dens Wireless charger,Electronics - My top gift,18.58,21.00,17.99,20.33,0.59,price landed on the wrong product
5060674508887,Ven Dens Power Bank,Electronics - My top gift,2.49,2.81,34.99,39.54,-32.50,price landed on the wrong product
5060674507743,Ven Dens Mini Car Charger,Electronics - My top gift,9.00,10.17,9.99,11.29,-0.99,price landed on the wrong product
5056594195597,Ven Dens Gaming Head Phones,Electronics - My top gift,3.99,4.51,26.99,30.50,-23.00,price landed on the wrong product
5060674508603,Ven dens data cable,Electronics - My top gift,17.99,20.33,9.99,11.29,8.00,price landed on the wrong product
5060674508108,Ven dens car mp3 player,Electronics - My top gift,34.99,39.54,19.99,22.59,15.00,price landed on the wrong product
5056594114666,Ven Dens Car Holder,Electronics - My top gift,9.99,11.29,11.99,13.55,-2.00,price landed on the wrong product
