Barcode,Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
062067547539,Michelob Ultra,Michelob Ultra,0.00,22.18,13.00,Beer
058496812317,"M & M CANDY,GUMS & CHOCOLATES 48G","M & M CANDY,GUMS & CHOCOLATES 48G",0.00,2.49,13.00,"CANDY,GUMS & CHOCOLATES"
064900409677,WRIGLEY'S DOUBLE MINT,WRIGLEY'S DOUBLE MINT,0.00,3.29,13.00,"CANDY,GUMS & CHOCOLATES"
060410048603,Lay's Classic 60g,Lay's Classic 60g,1.09,2.39,13.00,CHIPS & SNACKS
060410071830,Miss Vickie's Origianl 55g,Miss Vickie's Origianl 55g,0.00,2.39,13.00,CHIPS & SNACKS
180009000338,"POP SHOP COTTON CANDY,GUMS & CHOCOLATES","POP SHOP COTTON CANDY,GUMS & CHOCOLATES",0.00,2.22,13.00,DRINKS
5060674507675,Van dens earphones,Van dens earphones,0.00,12.99,13.00,Electronics - My top gift
5060674507361,Van Dens Earphones,Van Dens Earphones,0.00,9.99,13.00,Electronics - My top gift
5060674508870,Van Dens Earphones,Van Dens Earphones,0.00,8.99,13.00,Electronics - My top gift
5056594152088,Van Dens Power bank,Van Dens Power bank,0.00,27.99,13.00,Electronics - My top gift
5056594114888,Ven Dens Adapter,Ven Dens Adapter,0.00,20.99,13.00,Electronics - My top gift
5056594115120,Ven Dens Adapter,Ven Dens Adapter,0.00,37.99,13.00,Electronics - My top gift
5056594153153,Ven Dens Cable,Ven Dens Cable,0.00,12.99,13.00,Electronics - My top gift
5060674507453,Ven dens cable,Ven dens cable,0.00,12.99,13.00,Electronics - My top gift
5060674507460,Ven dens cable,Ven dens cable,0.00,12.99,13.00,Electronics - My top gift
5056594152354,Ven dens car holder,Ven dens car holder,0.00,6.99,13.00,Electronics - My top gift
5056594152323,Ven Dens Car Holder,Ven Dens Car Holder,0.00,12.99,13.00,Electronics - My top gift
5056594114666,Ven Dens Car Holder,Ven Dens Car Holder,0.00,11.99,13.00,Electronics - My top gift
063474104179,Old dutch,Old dutch,0.00,4.99,13.00,GROCERY
806712310396,Pure air,Pure air,0.00,2.99,13.00,GROCERY
806712305286,Pure air,Pure air,0.00,2.99,13.00,GROCERY
030772188460,Tide,Tide,0.00,6.99,13.00,GROCERY
6903148078884,Tide detergent,Tide detergent,0.00,3.99,13.00,GROCERY
698931001434,Wild pard shoe polish,Wild pard shoe polish,0.00,2.99,13.00,GROCERY
062300017256,"RAID ANT,ROACH & EARWIG","RAID ANT,ROACH & EARWIG",8.99,12.99,13.00,HEALTH & BEAUTY
055000174534,"Nestle drumstick CANDY,GUMS & CHOCOLATES","Nestle drumstick CANDY,GUMS & CHOCOLATES fudge",2.06,3.99,13.00,ICE CREAMS
2280550050009,"LOT, MAX 10 DRAW.$50",OLG,0.00,50.00,0.00,LOTTERY
