Barcode,Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
062067547355,michelob ultra,michelob ultra,0.00,3.49,13.00,ALCOHOL
062067382161,Stella Artois 6 x 473ml,Stella Artois 6 x 473ml,0.00,21.49,13.00,ALCOHOL
055742576344,Jumbo Hamburger Bun,Jumbo Hamburger Bun,0.00,5.49,13.00,BAKERY
06797231,PASSION FLAKIE,PASSION FLAKIE,0.00,2.49,13.00,BAKERY
776029703085,james ready 6 473 ml,james ready 6 473 ml,1.78,2.61,13.00,Beer
062067380624,Labatt Blue 6 pack,Labatt Blue 6 pack,0.00,15.50,13.00,Beer
7031000170,Laker Ice 473ML Can,Laker Ice 473ML Can,2.12,2.35,13.00,Beer
620707106586,Laker Ice 6x473ml,Laker Ice 6x473ml,1.00,13.34,13.00,Beer
620707554462,Laker Lager 6*473ML,Laker Lager 6*473ML,13.00,13.99,13.00,Beer
062067860539,Lawenbrau 473,Lawenbrau 473,0.00,2.59,13.00,Beer
062067423246,Lowenbrau 6tc,Lowenbrau 6tc,0.00,15.50,13.00,Beer
628669010101,Mad Tom IPA,Mad Tom IPA,0.00,4.09,13.00,Beer
062067333538,maximum ice  473 ml,maximum ice  473 ml,0.00,3.09,13.00,Beer
062067547539,Michelob Ultra,Michelob Ultra,0.00,22.18,13.00,Beer
062067421600,Mikes Hard Lemonade 473,Mikes Hard Lemonade 473,0.00,3.59,13.00,Beer
056327007949,molson 6 pack,molson 6 pack,0.00,18.39,13.00,Beer
056327006010,Molson Canadian 710ml,Molson Canadian 710ml,0.00,4.87,13.00,Beer
056327014145,Molson Cold shot,Molson Cold shot,0.00,5.89,13.00,Beer
056327024762,Molson Cold Shots Max,Molson Cold Shots Max,0.00,3.09,13.00,Beer
056327703414,molson dry 710 ml,molson dry 710 ml,2.69,3.59,13.00,Beer
776029701548,moose head  473 ml,moose head  473 ml,0.00,3.09,13.00,Beer
776029703092,Moosehead 6*473ML,Moosehead 6*473ML,15.35,18.49,13.00,Beer
056910401338,old milwaukee  473 ml,old milwaukee  473 ml,0.00,2.59,13.00,Beer
056910402502,old milwaukee  blue 473 ml,old milwaukee  blue 473 ml,0.00,2.59,13.00,Beer
056910402540,Old Milwaukee 6 pack,Old Milwaukee 6 pack,0.00,13.35,13.00,Beer
056910401345,old milwaukee 6PK,old milwaukee 6PK,0.00,13.35,13.00,Beer
056910414734,Pabst Blue Ribbon 6 pk,Pabst Blue Ribbon 6 pk,0.00,15.51,13.00,Beer
