Group,Product Name,Selling Price,Tax Percentage,Category Name,Cost Price
DUP-01,allens apple juice,4.51,13.00,DRINKS,0.00
DUP-01,Allens Apple Juice,1.01,13.00,JUICE,0.00
DUP-02,Bandage,3.38,13.00,GENERAL ITEMS,0.00
DUP-02,Bandage,3.38,13.00,GENERAL ITEMS,0.00
DUP-03,Bodacious smooth red,14.10,13.00,Wine,0.00
DUP-03,Bodacious Smooth Red,14.10,13.00,Wine,1.00
DUP-04,Borofone Headphones,56.49,13.00,Electronics - My top gift,0.00
DUP-04,Borofone Headphones,56.49,13.00,Electronics - My top gift,0.00
DUP-04,Borofone Headphones,56.49,13.00,Electronics - My top gift,0.00
DUP-05,Bubly Cherry,3.38,13.00,DRINK/SLUSHY,0.00
DUP-05,Bubly Cherry,1.85,13.00,DRINKS,0.00
DUP-06,Cable,6.77,13.00,Electronics - My top gift,0.00
DUP-06,CABLE,6.77,13.00,PARTY STUFF,0.00
DUP-07,Captain Black,2.51,13.00,TOBACCO Accessories,0.00
DUP-07,Captain Black,2.51,13.00,TOBACCO Accessories,0.00
DUP-08,Clorox,6.77,13.00,GENERAL ITEMS,0.00
DUP-08,Clorox,6.77,13.00,GROCERY,0.00
DUP-09,Cutlery,4.51,13.00,GENERAL ITEMS,0.00
DUP-09,Cutlery,4.51,13.00,GENERAL ITEMS,0.00
DUP-10,Gatorade,3.50,13.00,DRINKS,0.00
DUP-10,Gatorade,3.50,13.00,ENERGY DRINK,0.00
DUP-11,Haagen Dazs,10.16,13.00,Ice cream,0.00
DUP-11,Haagen Dazs,10.16,13.00,Ice cream,0.00
DUP-12,hip flask,11.29,13.00,OTHER,0.00
DUP-12,hip flask,11.29,13.00,OTHER,0.00
DUP-13,Hoco BT Speaker,33.89,13.00,Electronics - My top gift,0.00
DUP-13,Hoco BT Speaker,68.92,13.00,Electronics - My top gift,0.00
DUP-14,Hoco Charger,18.07,13.00,Electronics - My top gift,0.00
DUP-14,Hoco Charger,18.07,13.00,Electronics - My top gift,0.00
