Product Name,Category Name,Selling Price (no deposit),Transactions,Revenue,Proposed Deposit,Proposed Selling Price,Basis - CONFIRM BEFORE USE
Corona Extra 6 x 330 ml,ALCOHOL,19.20,49,960.00,0.60,19.80,6 x 330 mL = 6 x $0.10
michelob ultra,ALCOHOL,3.94,7,51.27,0.10,4.04,"single can, size not in the name - assumed <=630 mL"
Budweisr 710ml,Beer,5.62,15,112.35,0.20,5.82,710 mL is over 630 mL
Coors 6 pack,Beer,21.02,21,462.44,0.60,21.62,"6-pack, container size not in the name"
Heineken 6* 330Ml Bottle,Beer,19.78,1,19.78,0.60,20.38,6 x 330 mL = 6 x $0.10
james ready 6 473 ml,Beer,2.95,44,203.55,,,AMBIGUOUS - name says 6 x 473 mL but the price is a single-can price
Laker Ice 473ML Can,Beer,2.66,1,3.39,0.10,2.76,single 473 mL can
Laker Lager 6*473ML,Beer,15.81,6,109.01,0.60,16.41,6 x 473 mL = 6 x $0.10
Molson Canadian 710ml,Beer,5.50,15,121.05,0.20,5.70,710 mL is over 630 mL
Twisted Tea Part Pack,R.T.D.,33.89,1,33.89,,,"AMBIGUOUS - party pack, count not in the name (12 = $1.20, 24 = $2.40)"
