Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
Corona Extra 6 x 330 ml,Corona Extra 6 x 330 ml,0.00,19.20,13.00,ALCOHOL
michelob ultra,michelob ultra,0.00,3.94,13.00,ALCOHOL
Stella Artois 6 x 473ml,Stella Artois 6 x 473ml,0.00,24.21,13.00,ALCOHOL
coors seltzer 7%,coors seltzer 7%,0.00,4.04,13.00,Alcoholic Cocktails
GROCERY TAX,GROCERY TAX,0.00,0.00,13.00,ALL
Craze chocolays,Craze chocolays,0.00,5.19,13.00,BAKERY
Jumbo Hamburger Bun,Jumbo Hamburger Bun,0.00,6.20,13.00,BAKERY
PASSION FLAKIE,PASSION FLAKIE,0.00,2.81,13.00,BAKERY
Arizona Hard 473,Arizona Hard 473,0.00,3.93,13.00,Beer
Black Fly Sour Raspberry 473 ML,Black Fly Sour Raspberry 473 ML,3.83,4.04,13.00,Beer
Black Fly Vodka Black Cherry 473ML,Black Fly Vodka Black Cherry 473ML,3.00,4.04,13.00,Beer
Black fly vodka cranberry 4*400,Black fly vodka cranberry 4*400,0.00,13.95,13.00,Beer
blue 473 ml,blue 473 ml,0.00,2.91,13.00,Beer
bud light 473ml,bud light 473ml,0.00,3.48,13.00,Beer
Bud light 6 Pack,Bud light 6 Pack,0.00,20.70,13.00,Beer
budweiser,budweiser,0.00,3.48,13.00,Beer
Budweisr 710ml,Budweisr 710ml,0.00,5.62,13.00,Beer
Budwieser 6pk 473ml,Budwieser 6pk 473ml,0.00,20.36,13.00,Beer
Busch Bullet,Busch Bullet,0.00,6.60,13.00,Beer
Busch Ice,Busch Ice,0.00,18.10,13.00,Beer
bush ice single,bush ice single,0.00,3.03,13.00,Beer
CAPTAIN MORGAN MANGO MAI TAI 355ML,CAPTAIN MORGAN MANGO MAI TAI 355ML,2.23,3.48,13.00,Beer
carling,carling,0.00,2.91,13.00,Beer
Carling lager,Carling lager,0.00,17.43,13.00,Beer
Coors 6 pack,Coors 6 pack,0.00,21.02,13.00,Beer
corona   473 ml,corona   473 ml,0.00,4.61,13.00,Beer
Corona Extra,Corona Extra,0.00,26.01,13.00,Beer
Cottage spring pink lemonade 473,Cottage spring pink lemonade 473,0.00,4.16,13.00,Beer
Fax Premium,Fax Premium,0.00,3.48,13.00,Beer
Faxe Amber 473,Faxe Amber 473,0.00,2.91,13.00,Beer
Flying monkey velvet bubble load 473,Flying monkey velvet bubble load 473,0.00,4.61,13.00,Beer
Guiness 500 ML,Guiness 500 ML,0.00,4.90,13.00,Beer
guniess 4 pack,guniess 4 pack,0.00,17.53,13.00,Beer
heinekel 6 pack 330ml bottle,heinekel 6 pack 330ml bottle,0.00,23.00,13.00,Beer
HEINEKEN 330UNIT,HEINEKEN 330UNIT,0.00,3.58,13.00,Beer
Heineken 500ml,Heineken 500ml,0.00,4.04,13.00,Beer
Heineken 6* 330Ml Bottle,Heineken 6* 330Ml Bottle,15.81,19.78,13.00,Beer
Heineken 6pk,Heineken 6pk,0.00,24.09,13.00,Beer
Heineken Bottle 330ml,Heineken Bottle 330ml,0.00,3.50,13.00,Beer
james ready 6 473 ml,james ready 6 473 ml,1.78,2.95,13.00,Beer
Labatt Blue 6 pack,Labatt Blue 6 pack,0.00,17.44,13.00,Beer
Laker Ice 473ML Can,Laker Ice 473ML Can,2.12,2.66,13.00,Beer
Laker Ice 6x473ml,Laker Ice 6x473ml,1.00,15.00,13.00,Beer
Laker Lager 6*473ML,Laker Lager 6*473ML,13.00,15.81,13.00,Beer
Lawenbrau 473,Lawenbrau 473,0.00,2.91,13.00,Beer
Lowenbrau 6tc,Lowenbrau 6tc,0.00,17.44,13.00,Beer
Mad Tom IPA,Mad Tom IPA,0.00,4.61,13.00,Beer
maximum ice  473 ml,maximum ice  473 ml,0.00,3.48,13.00,Beer
Michelob Ultra,Michelob Ultra,0.00,24.99,13.00,Beer
Mikes Hard Lemonade 473,Mikes Hard Lemonade 473,0.00,4.04,13.00,Beer
molson 473 ml,molson 473 ml,0.00,3.48,13.00,Beer
molson 6 pack,molson 6 pack,0.00,20.70,13.00,Beer
Molson Canadian 710ml,Molson Canadian 710ml,0.00,5.50,13.00,Beer
Molson Cold shot,Molson Cold shot,0.00,6.60,13.00,Beer
Molson Cold Shots Max,Molson Cold Shots Max,0.00,3.48,13.00,Beer
molson dry 710 ml,molson dry 710 ml,2.69,4.04,13.00,Beer
moose head  473 ml,moose head  473 ml,0.00,3.48,13.00,Beer
Moosehead 6*473ML,Moosehead 6*473ML,15.35,20.82,13.00,Beer
old milwaukee  473 ml,old milwaukee  473 ml,0.00,2.91,13.00,Beer
old milwaukee  blue 473 ml,old milwaukee  blue 473 ml,0.00,2.91,13.00,Beer
Old Milwaukee 6 pack,Old Milwaukee 6 pack,0.00,15.01,13.00,Beer
