Barcode,Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
827152105779,ALLO 2500 8mL Org Mango Guava,ALLO 2500 8mL Org Mango Guava,20.45,29.99,13.00,VAPE & CIGAR
,ALLO 2500 8mL Org Mango Guava CTN5,ALLO 2500 8mL Org Mango Guava - carton of 5,102.25,149.95,13.00,VAPE & CIGAR
,ALLO 2500 8mL Wtrmln Ice,ALLO 2500 8mL Watermelon Ice,20.45,29.99,13.00,VAPE & CIGAR
,ALLO 2500 8mL Wtrmln Ice CTN5,ALLO 2500 8mL Watermelon Ice - carton of 5,102.25,149.95,13.00,VAPE & CIGAR
641961819685,ALLO Ultra 10K 8mL Wtrmln Ice,ALLO Ultra 10K 8mL Watermelon Ice,18.93,26.99,13.00,VAPE & CIGAR
,ALLO Ultra 10K 8mL Wtrmln Ice CTN6,ALLO Ultra 10K 8mL Watermelon Ice - carton of 6,113.55,161.94,13.00,VAPE & CIGAR
827152214761,DRIP'N 8mL Mango Peach Wtrmln,DRIP'N 8mL Mango Peach Watermelon,18.95,26.99,13.00,VAPE & CIGAR
,DRIP'N 8mL Mango Peach Wtrmln CTN5,DRIP'N 8mL Mango Peach Watermelon - carton of 5,94.75,134.95,13.00,VAPE & CIGAR
827152214808,DRIP'N 8mL Triple Berry,DRIP'N 8mL Triple Berry,18.95,26.99,13.00,VAPE & CIGAR
,DRIP'N 8mL Triple Berry CTN5,DRIP'N 8mL Triple Berry - carton of 5,94.75,134.95,13.00,VAPE & CIGAR
6941976245689,ELFBAR FS70K 20mL Banana Ice,ELFBAR FS70K 20mL Banana Ice,22.93,32.99,13.00,VAPE & CIGAR
,ELFBAR FS70K 20mL Banana Ice CTN4,ELFBAR FS70K 20mL Banana Ice - carton of 4,91.72,131.96,13.00,VAPE & CIGAR
,ELFBAR FS70K 20mL Kiwi Passion Guava Ice,ELFBAR FS70K 20mL Kiwi Passion Fruit Guava Ice,23.43,33.99,13.00,VAPE & CIGAR
,ELFBAR FS70K Kiwi Passion Guava Ice CTN4,ELFBAR FS70K 20mL Kiwi Passion Fruit Guava Ice - carton of 4,93.72,135.96,13.00,VAPE & CIGAR
6941976245924,ELFBAR FS70K 20mL Mango Ice,ELFBAR FS70K 20mL Mango Ice,22.93,32.99,13.00,VAPE & CIGAR
,ELFBAR FS70K 20mL Mango Ice CTN4,ELFBAR FS70K 20mL Mango Ice - carton of 4,91.72,131.96,13.00,VAPE & CIGAR
6941976246037,ELFBAR FS70K 20mL Miami Mint,ELFBAR FS70K 20mL Miami Mint,22.93,32.99,13.00,VAPE & CIGAR
,ELFBAR FS70K 20mL Miami Mint CTN4,ELFBAR FS70K 20mL Miami Mint - carton of 4,91.72,131.96,13.00,VAPE & CIGAR
6941976246068,ELFBAR FS70K 20mL Pineap Peach Mango Ice,ELFBAR FS70K 20mL Pineapple Peach Mango Ice,22.93,32.99,13.00,VAPE & CIGAR
,ELFBAR FS70K Pineap Peach Mango Ice CTN4,ELFBAR FS70K 20mL Pineapple Peach Mango Ice - carton of 4,91.72,131.96,13.00,VAPE & CIGAR
