Brand,Product Line,Flavour,mL,Pack Size,Invoice Carton Price,Price Includes Excise,Excise Per Unit (Fed+ON),Unit Cost ex-excise,Unit Cost incl excise,Carton Cost incl excise,Suggested Retail (x1.45),Barcode,Source,Note
ALLO,2500 8mL,Org Mango Guava,8,5,57.45,no,8.96,11.49,20.45,102.25,29.99,,Order 1373225,
ALLO,2500 8mL,Watermelon Ice,8,5,57.45,no,8.96,11.49,20.45,102.25,29.99,,Order 1373225,
ALLO,Ultra 10K 8mL,Watermelon Ice,8,6,62.94,no,8.96,10.49,19.45,116.70,27.99,,Order 1373225,
DRIP'N,8mL,Mango Peach Watermelon,8,5,49.95,no,8.96,9.99,18.95,94.75,26.99,,Order 1373225,
DRIP'N,8mL,Triple Berry,8,5,49.95,no,8.96,9.99,18.95,94.75,26.99,,Order 1373225,
ELFBAR,FS70K 20mL,Banana Ice,20,4,39.96,no,13.44,9.99,23.43,93.72,33.99,,Order 1373225,
ELFBAR,FS70K 20mL,Kiwi Passion Fruit Guava Ice,20,4,39.96,no,13.44,9.99,23.43,93.72,33.99,,Order 1,
ELFBAR,FS70K 20mL,Mango Ice,20,4,39.96,no,13.44,9.99,23.43,93.72,33.99,,Order 1373225,
ELFBAR,FS70K 20mL,Miami Mint,20,4,39.96,no,13.44,9.99,23.43,93.72,33.99,,Order 1373225,
ELFBAR,FS70K 20mL,Pineapple Peach Mango Ice,20,4,39.96,no,13.44,9.99,23.43,93.72,33.99,,Order 1373225,
ELFBAR,FS70K 20mL,Strawberry Banana Ice,20,4,39.96,no,13.44,9.99,23.43,93.72,33.99,,Order 1,
ELFBAR,FS70K 20mL,Watermelon Ice,20,4,39.96,no,13.44,9.99,23.43,93.72,33.99,,Order 1373225,
ELFBAR,GH20K 20mL,Blue Razz Ice,20,5,132.15,yes,13.44,12.99,26.43,132.15,37.99,,Pinnacle 19583,
ELFBAR,GH20K 20mL,Grape Ice,20,5,132.15,yes,13.44,12.99,26.43,132.15,37.99,,Pinnacle 19825,
ELFBAR,GH20K 20mL,Peach Mango Watermelon,20,5,132.15,yes,13.44,12.99,26.43,132.15,37.99,,Pinnacle 19825,
ELFBAR,GH20K 20mL,Sour Blueberry Lemon,20,5,132.15,yes,13.44,12.99,26.43,132.15,37.99,,Pinnacle 19583,
ELFBAR,GH20K 20mL,Strawberry Kiwi Ice,20,5,132.15,yes,13.44,12.99,26.43,132.15,37.99,,Pinnacle 19583,
ELFBAR,GH20K 20mL,Watermelon Ice,20,5,132.15,yes,13.44,12.99,26.43,132.15,37.99,,Pinnacle 19825,
FLAVOUR BEAST,Beast Mode Max 2 20mL,Gushin Watermelon Apple,20,5,149.65,yes,13.44,16.49,29.93,149.65,42.99,,FB order 26 Aug,
FLAVOUR BEAST,Beast Mode Max 2 20mL,Mega Mango,20,5,149.65,yes,13.44,16.49,29.93,149.65,42.99,,FB order 26 Aug,
FLAVOUR BEAST,Beast Mode Max 2 20mL,Watermelon G,20,5,82.45,no,13.44,16.49,29.93,149.65,42.99,,Order 1373225,
KRAVE,Pulse X 60K 20mL,Blue Razz Lemon Head,20,3,54.00,yes,13.44,4.56,18.00,54.00,25.99,,Pinnacle 19583,
KRAVE,Pulse X 60K 20mL,Cool Mint,20,3,54.00,yes,13.44,4.56,18.00,54.00,25.99,,Pinnacle 19583,
LEVEL X,Boost Pod 20mL,Mad Mango Peach,20,6,131.58,yes,13.44,8.49,21.93,131.58,31.99,,FB order 26 Aug,
LEVEL X,Boost Pod 20mL,Strawberry Raspberry Blueberry Ice,20,6,131.58,yes,13.44,8.49,21.93,131.58,31.99,,FB order 26 Aug,
LEVEL X,Boost Pod 20mL,Super Sour Apple Iced,20,6,131.58,yes,13.44,8.49,21.93,131.58,31.99,,FB order 26 Aug,
LEVEL X,Boost Pod 20mL,Watermelon Strawberry Kiwi Ice,20,6,131.58,yes,13.44,8.49,21.93,131.58,31.99,,FB order 26 Aug,
LEVEL X,M Series Device Kit,Obsidian Black,,4,32.36,yes,0,8.09,8.09,32.36,11.73,,FB order 26 Aug,
LEVEL X,M Series Starter Kit 30mL,Bomb Blue Razz,30,4,127.48,yes,15.68,16.19,31.87,127.48,45.99,,FB order 26 Aug,
LEVEL X,M Series Starter Kit 30mL,Flippin' Fruit Flash,30,4,127.48,yes,15.68,16.19,31.87,127.48,45.99,,FB order 26 Aug,
LEVEL X,M Series Starter Kit 30mL,Gusto Green Apple,30,4,127.48,yes,15.68,16.19,31.87,127.48,45.99,,FB order 26 Aug,
LEVEL X,M Series Starter Kit 30mL,Trippin' Triple Berry,30,4,127.48,yes,15.68,16.19,31.87,127.48,45.99,,FB order 26 Aug,
LEVEL X,M Series Starter Kit 30mL,Weekend Watermelon Iced,30,4,127.48,yes,15.68,16.19,31.87,127.48,45.99,,FB order 26 Aug,
OVNS,2500 2mL,Dragon Fruit Blue Raspberry,2,10,110.00,yes,2.24,8.76,11.00,110.00,15.99,,Pinnacle 19825,
OVNS,2500 2mL,Mint Ice,2,10,110.00,yes,2.24,8.76,11.00,110.00,15.99,,Pinnacle 19825,
OVNS,Max 3K 2mL,Blue Razz Ice,2,6,85.50,yes,2.24,12.01,14.25,85.50,20.99,,Pinnacle 19825,
OVNS,Max 3K 2mL,Mexican Mango,2,6,85.50,yes,2.24,12.01,14.25,85.50,20.99,,Pinnacle 19825,
OVNS,Max 3K 2mL,Peach Mango,2,6,85.50,yes,2.24,12.01,14.25,85.50,20.99,,Pinnacle 19583,
OVNS,Max 3K 2mL,Strawberry Peach Mint,2,6,85.50,yes,2.24,12.01,14.25,85.50,20.99,,Pinnacle 19583,
OVNS,Max 3K 2mL,White Grape Ice,2,6,85.50,yes,2.24,12.01,14.25,85.50,20.99,,Pinnacle 19583,
OVNS,O2 2500 2mL,(flavour not shown),2,10,102.50,yes,2.24,8.01,10.25,102.50,14.99,,Pinnacle 19583,
STLTH,2% Pod Pack (3 pods),Berry Blast,6,1,14.22,yes,6.72,7.50,14.22,14.22,20.99,,Pinnacle 19825,
STLTH,2% Pod Pack (3 pods),Double Mint,6,1,14.22,yes,6.72,7.50,14.22,14.22,20.99,,Pinnacle 19825,
STLTH,2% Pod Pack (3 pods),Frost Mint,6,1,14.22,yes,6.72,7.50,14.22,14.22,20.99,,Pinnacle 19825,
STLTH,2% Pod Pack (3 pods),Honeydew Menthol,6,1,14.22,yes,6.72,7.50,14.22,14.22,20.99,,Pinnacle 19825,
STLTH,2% Pod Pack (3 pods),Peach,6,1,14.22,yes,6.72,7.50,14.22,14.22,20.99,,Pinnacle 19825,
STLTH,2% Pod Pack (3 pods),Tobacco Blend,6,1,14.22,yes,6.72,7.50,14.22,14.22,20.99,,Pinnacle 19825,
STLTH,ECO 6mL,Cherry Lemon Ice,6,6,40.50,no,6.72,6.75,13.47,80.82,19.99,,Order 1,
STLTH,ECO 6mL,Juicy Peach,6,6,40.50,no,6.72,6.75,13.47,80.82,19.99,,Order 1,
STLTH,ECO 6mL,Peach Ice,6,6,40.50,no,6.72,6.75,13.47,80.82,19.99,,Order 1,
STLTH,ECO 6mL,Polar Mint,6,6,40.50,no,6.72,6.75,13.47,80.82,19.99,,Order 1,
STLTH,ECO 6mL,Razz Apple Ice,6,6,40.50,no,6.72,6.75,13.47,80.82,19.99,,Order 1,
STLTH,ECO 6mL,Razzy Grape Ice,6,6,40.50,no,6.72,6.75,13.47,80.82,19.99,,Order 1,
STLTH,ECO 6mL,Strawberry Banana,6,6,40.50,no,6.72,6.75,13.47,80.82,19.99,,Order 1,
STLTH,ECO 6mL,Strawberry Kiwi Ice,6,6,40.50,no,6.72,6.75,13.47,80.82,19.99,,Order 1,
STLTH,ECO MINI 2mL,Blue Razz Ice,2,6,24.60,no,2.24,4.10,6.34,38.04,8.99,,Order 1,
STLTH,ECO MINI 2mL,Green Apple,2,6,24.60,no,2.24,4.10,6.34,38.04,8.99,,Order 1373225,
STLTH,ECO MINI 2mL,Juicy Peach,2,6,24.60,no,2.24,4.10,6.34,38.04,8.99,,Order 1373225,
STLTH,ECO MINI 2mL,Razzy Grape Ice,2,6,24.60,no,2.24,4.10,6.34,38.04,8.99,,Order 1373225,
STLTH,ECO MINI 2mL,Strawberry Kiwi Ice,2,6,24.60,no,2.24,4.10,6.34,38.04,8.99,,Order 1,
STLTH,LOOP 25K Pod 20mL,Rich Tobacco,20,5,40.00,no,13.44,8.00,21.44,107.20,30.99,,Order 1373225,
STLTH,LOOP 25K Pod 20mL,Strawberry Lime Ice,20,5,40.00,no,13.44,8.00,21.44,107.20,30.99,,Order 1373225,
STLTH,LOOP MAX 70K Pod 30mL,Blue Razz,30,4,31.36,no,15.68,7.84,23.52,94.08,33.99,,Order 1,
STLTH,LOOP MAX 70K Pod 30mL,Green Apple Ice,30,4,37.65,no,15.68,9.41,25.09,100.37,35.99,,Order 1373225,also 23.52/unit on Order 1
STLTH,LOOP MAX 70K Pod 30mL,Peach Berry,30,4,31.36,no,15.68,7.84,23.52,94.08,33.99,,Order 1,
STLTH,LOOP MAX 70K Pod 30mL,Strawberry Kiwi,30,4,37.65,no,15.68,9.41,25.09,100.37,35.99,,Order 1373225,
STLTH,x GEEK BAR 80K 30mL,Banana Burst Ice,30,4,131.32,yes,15.68,17.15,32.83,131.32,47.99,,Pinnacle 19583,
STLTH,x GEEK BAR 80K 30mL,Blue Razz,30,4,131.32,yes,15.68,17.15,32.83,131.32,47.99,,Pinnacle 19583,
STLTH,x GEEK BAR 80K 30mL,Mango Peach Ice,30,4,131.32,yes,15.68,17.15,32.83,131.32,47.99,,Pinnacle 19583,
STLTH,x GEEK BAR 80K 30mL,Purple Grape Ice,30,4,131.32,yes,15.68,17.15,32.83,131.32,47.99,,Pinnacle 19583,
