Barcode,SKU,Product Name,Brand,Product Line,Flavour,Type,Nicotine,E-liquid (mL),Price (ex tax),Price (incl HST),Supplier Cost,Margin %,Category,Added,Data Flags
810014087009,YV-23649,ALLO Ultra 10K Pod Blue Raspberry,ALLO,Ultra 10K Pod,Blue Raspberry,Replacement Pod,20 mg/mL,8,18.99,21.46,,,VAPE & CIGAR,2026-09-14,
810014086996,YV-23648,ALLO Ultra 10K Pod Blueberry Ice,ALLO,Ultra 10K Pod,Blueberry Ice,Replacement Pod,20 mg/mL,8,18.99,21.46,,,VAPE & CIGAR,2026-09-14,
810014087030,YV-23647,ALLO Ultra 10K Pod Grape Ice,ALLO,Ultra 10K Pod,Grape Ice,Replacement Pod,20 mg/mL,8,18.99,21.46,,,VAPE & CIGAR,2026-09-14,
810014087047,YV-23646,ALLO Ultra 10K Pod Juicy Mango,ALLO,Ultra 10K Pod,Juicy Mango,Replacement Pod,20 mg/mL,8,18.99,21.46,,,VAPE & CIGAR,2026-09-14,
810014087061,YV-23644,ALLO Ultra 10K Pod Peach,ALLO,Ultra 10K Pod,Peach,Replacement Pod,20 mg/mL,8,18.99,21.46,,,VAPE & CIGAR,2026-09-14,
810014087092,YV-23645,ALLO Ultra 10K Pod Spearmint,ALLO,Ultra 10K Pod,Spearmint,Replacement Pod,20 mg/mL,8,18.99,21.46,,,VAPE & CIGAR,2026-09-14,
810014087122,YV-23650,ALLO Ultra 10K Pod Watermelon Ice,ALLO,Ultra 10K Pod,Watermelon Ice,Replacement Pod,20 mg/mL,8,18.99,21.46,18.93,0,VAPE & CIGAR,2026-09-14,
810014088464,YV-23661,ALLO Ultra 10K Prefilled Pod Blueberry Ice,ALLO,Ultra 10K Prefilled Pod,Blueberry Ice,Replacement Pod,20 mg/mL,8,26.00,29.38,,,VAPE & CIGAR,2026-09-14,
810014085920,YV-23662,ALLO Ultra 10K Prefilled Pod Grape Ice,ALLO,Ultra 10K Prefilled Pod,Grape Ice,Replacement Pod,20 mg/mL,8,26.00,29.38,,,VAPE & CIGAR,2026-09-14,
810014085937,YV-23659,ALLO Ultra 10K Prefilled Pod Juicy Mango,ALLO,Ultra 10K Prefilled Pod,Juicy Mango,Replacement Pod,20 mg/mL,8,26.00,29.38,,,VAPE & CIGAR,2026-09-14,
810014085968,YV-23660,ALLO Ultra 10K Prefilled Pod Pineapple Ice,ALLO,Ultra 10K Prefilled Pod,Pineapple Ice,Replacement Pod,20 mg/mL,8,26.00,29.38,,,VAPE & CIGAR,2026-09-14,
810014086019,YV-23663,ALLO Ultra 10K Prefilled Pod Watermelon Ice,ALLO,Ultra 10K Prefilled Pod,Watermelon Ice,Replacement Pod,20 mg/mL,8,26.00,29.38,18.93,27,VAPE & CIGAR,2026-09-14,
827152097838,YV-23654,ALLO Ultra 2500 Banana Ice,ALLO,Ultra 2500,Banana Ice,Disposable,20 mg/mL,8,25.99,29.37,,,VAPE & CIGAR,2026-09-14,
827152097814,YV-23652,ALLO Ultra 2500 Blueberry Ice,ALLO,Ultra 2500,Blueberry Ice,Disposable,20 mg/mL,8,25.99,29.37,,,VAPE & CIGAR,2026-09-14,
827152097968,YV-23651,ALLO Ultra 2500 Grape Ice,ALLO,Ultra 2500,Grape Ice,Disposable,20 mg/mL,8,25.99,29.37,,,VAPE & CIGAR,2026-09-14,
827152098002,YV-23656,ALLO Ultra 2500 Lemon Lime Cranberry,ALLO,Ultra 2500,Lemon Lime Cranberry,Disposable,20 mg/mL,8,25.99,29.37,,,VAPE & CIGAR,2026-09-14,
827152097982,YV-23655,ALLO Ultra 2500 Lychee Ice,ALLO,Ultra 2500,Lychee Ice,Disposable,20 mg/mL,8,25.99,29.37,,,VAPE & CIGAR,2026-09-14,
827152098019,YV-23657,ALLO Ultra 2500 Mixed Berry,ALLO,Ultra 2500,Mixed Berry,Disposable,20 mg/mL,8,25.99,29.37,,,VAPE & CIGAR,2026-09-14,
827152098033,YV-23653,ALLO Ultra 2500 Orange Mango Guava,ALLO,Ultra 2500,Orange Mango Guava,Disposable,20 mg/mL,8,25.99,29.37,,,VAPE & CIGAR,2026-09-14,
827152098170,YV-23658,ALLO Ultra 2500 Watermelon Ice,ALLO,Ultra 2500,Watermelon Ice,Disposable,20 mg/mL,8,25.99,29.37,20.45,21,VAPE & CIGAR,2026-09-14,
5061106551426,YV-23703,Al Fakher 75K Blue Razz,Al Fakher,75K,Blue Razz,Disposable,20 mg/mL,25,43.99,49.71,,,VAPE & CIGAR,2026-09-14,
5061106551211,YV-23700,Al Fakher 75K Blueberry Ice,Al Fakher,75K,Blueberry Ice,Disposable,20 mg/mL,25,43.99,49.71,,,VAPE & CIGAR,2026-09-14,
5061106551341,YV-23702,Al Fakher 75K Two Apple,Al Fakher,75K,Two Apple,Disposable,20 mg/mL,25,43.99,49.71,,,VAPE & CIGAR,2026-09-14,
5061106551631,YV-23701,Al Fakher 75K Watermelon Kiwi,Al Fakher,75K,Watermelon Kiwi,Disposable,20 mg/mL,25,43.99,49.71,,,VAPE & CIGAR,2026-09-14,
810132651014,YV-23745,Breeze 4K Apple Cranberry,Breeze,4K,Apple Cranberry,Disposable,20 mg/mL,,29.99,33.89,,,VAPE & CIGAR,2026-09-15,
810132651076,YV-23744,Breeze 4K Strawberry Pineapple Ice,Breeze,4K,Strawberry Pineapple Ice,Disposable,20 mg/mL,,29.99,33.89,,,VAPE & CIGAR,2026-09-15,
810132654848,YV-23742,Breeze 6K Mango,Breeze,6K,Mango,Disposable,20 mg/mL,,31.99,36.15,,,VAPE & CIGAR,2026-09-15,
810132654787,YV-23743,Breeze 6K Mint,Breeze,6K,Mint,Disposable,20 mg/mL,,31.99,36.15,,,VAPE & CIGAR,2026-09-15,
827152215126,YV-23695,Drip'n 16K Blue Razz,Drip'n,16K,Blue Razz,Disposable,20 mg/mL,8,24.00,27.12,,,VAPE & CIGAR,2026-09-14,
